Follower Athlete ID,Follow Status,Created At
54182797,Accepted,"Apr 12, 2020, 7:03:28 PM"
46455775,Accepted,"Apr 14, 2020, 8:01:44 PM"
49353470,Accepted,"Apr 17, 2020, 6:27:19 AM"
41934187,Accepted,"Apr 17, 2020, 12:25:54 PM"
45293491,Accepted,"Apr 28, 2020, 4:50:39 PM"
55664265,Accepted,"Apr 29, 2020, 11:59:52 PM"
51422402,Accepted,"May 12, 2020, 5:16:42 PM"
49818078,Accepted,"May 12, 2020, 9:42:37 PM"
36262735,Accepted,"May 21, 2020, 5:34:38 PM"
54535766,Accepted,"Jun 19, 2020, 3:51:51 PM"
33821603,Accepted,"Jul 13, 2020, 4:47:45 PM"
27097600,Accepted,"Sep 1, 2020, 12:54:33 AM"
64066887,Accepted,"Oct 28, 2020, 8:51:20 PM"
72707076,Accepted,"Nov 22, 2020, 5:49:56 PM"
54985510,Accepted,"Dec 8, 2020, 10:04:58 PM"
59473681,Accepted,"Jan 9, 2021, 5:19:04 PM"
6627664,Accepted,"Jan 18, 2021, 6:20:04 PM"
44691465,Accepted,"May 12, 2021, 10:41:53 PM"
65874309,Accepted,"Jun 11, 2021, 4:12:37 PM"
86980919,Accepted,"Jun 14, 2021, 1:34:52 PM"
33262040,Accepted,"Jul 3, 2021, 8:28:08 PM"
52188579,Accepted,"Jul 16, 2021, 2:05:24 AM"
426062,Accepted,"Aug 31, 2021, 12:40:08 PM"
25838529,Accepted,"Sep 12, 2021, 8:56:14 PM"
92528184,Accepted,"Sep 16, 2021, 2:58:27 PM"
92702847,Accepted,"Sep 19, 2021, 5:22:12 PM"
92467187,Accepted,"Sep 24, 2021, 1:10:34 PM"
92255189,Accepted,"Oct 2, 2021, 4:07:28 PM"
67279237,Accepted,"Oct 6, 2021, 12:04:00 AM"
93929228,Accepted,"Oct 24, 2021, 1:54:09 PM"
16097447,Accepted,"Nov 8, 2021, 5:24:38 PM"
33073387,Accepted,"Nov 9, 2021, 12:49:32 AM"
55669232,Accepted,"Nov 24, 2021, 6:36:01 PM"
26175682,Accepted,"Nov 27, 2021, 10:43:05 PM"
28676805,Accepted,"Dec 9, 2021, 4:38:58 PM"
74316803,Accepted,"Dec 16, 2021, 11:44:19 PM"
97781152,Accepted,"Jan 18, 2022, 1:12:45 AM"
4995,Accepted,"Jan 23, 2022, 11:48:58 PM"
10200292,Accepted,"Feb 6, 2022, 9:16:23 PM"
52128387,Accepted,"Feb 19, 2022, 3:11:36 AM"
98891106,Accepted,"Feb 28, 2022, 12:35:58 AM"
98456288,Accepted,"Mar 2, 2022, 10:07:53 PM"
101999684,Accepted,"Apr 24, 2022, 7:38:38 PM"
102964075,Accepted,"May 13, 2022, 11:34:28 PM"
68296859,Accepted,"May 30, 2022, 3:04:45 PM"
56497807,Accepted,"Jun 3, 2022, 8:10:57 PM"
29244253,Accepted,"Jun 4, 2022, 6:40:17 PM"
59164011,Accepted,"Jun 20, 2022, 2:53:48 PM"
55335414,Accepted,"Jul 4, 2022, 2:25:12 PM"
53557515,Accepted,"Jul 25, 2022, 12:52:07 PM"
66422417,Accepted,"Aug 7, 2022, 4:14:27 PM"
62732080,Accepted,"Aug 22, 2022, 7:08:38 PM"
24038029,Accepted,"Aug 25, 2022, 1:11:13 AM"
44427568,Accepted,"Sep 2, 2022, 9:44:10 PM"
47645494,Accepted,"Sep 5, 2022, 7:23:11 AM"
34478295,Accepted,"Sep 6, 2022, 4:21:11 AM"
32522578,Accepted,"Sep 11, 2022, 12:08:05 AM"
22252026,Accepted,"Sep 14, 2022, 2:14:31 AM"
41392541,Accepted,"Sep 30, 2022, 2:10:48 PM"
87989093,Accepted,"Oct 4, 2022, 12:38:08 AM"
56648151,Accepted,"Oct 20, 2022, 9:29:54 PM"
107798306,Accepted,"Nov 5, 2022, 1:51:19 PM"
111130805,Accepted,"Dec 1, 2022, 4:13:19 PM"
90313090,Accepted,"Dec 3, 2022, 5:04:35 AM"
110927881,Accepted,"Dec 4, 2022, 8:29:58 PM"
25455193,Accepted,"Jan 5, 2023, 11:41:23 PM"
87740052,Accepted,"Mar 12, 2023, 9:55:34 PM"
113110562,Accepted,"Mar 18, 2023, 2:27:32 AM"
46469274,Accepted,"Apr 19, 2023, 3:24:24 PM"
118065065,Accepted,"May 17, 2023, 12:58:58 AM"
118056905,Accepted,"May 17, 2023, 11:21:51 AM"
118055773,Accepted,"May 17, 2023, 4:42:25 PM"
118065078,Accepted,"May 17, 2023, 9:52:14 PM"
115332867,Accepted,"Jun 23, 2023, 2:38:03 PM"
117727327,Accepted,"Aug 23, 2023, 3:28:24 AM"
114653635,Accepted,"Aug 31, 2023, 1:34:18 AM"
121068459,Accepted,"Sep 11, 2023, 11:21:07 PM"
29378417,Accepted,"Sep 24, 2023, 4:55:32 PM"
52230616,Accepted,"Oct 1, 2023, 4:49:44 PM"
88662534,Accepted,"Oct 2, 2023, 4:07:51 AM"
120705630,Accepted,"Oct 15, 2023, 3:26:57 PM"
32753802,Accepted,"Nov 12, 2023, 4:35:17 PM"
86231397,Accepted,"Dec 10, 2023, 2:55:08 AM"
60926461,Accepted,"Dec 17, 2023, 7:14:08 PM"
23564413,Accepted,"Dec 17, 2023, 9:55:25 PM"
55917850,Accepted,"Dec 30, 2023, 10:36:54 PM"
