Following Athlete ID,Follow Status,Created At
33821603,Accepted,"Oct 15, 2019, 1:58:05 AM"
54182797,Accepted,"Apr 13, 2020, 8:25:26 PM"
46455775,Accepted,"Apr 15, 2020, 1:08:22 AM"
41934187,Accepted,"Apr 16, 2020, 12:31:52 AM"
49353470,Accepted,"Apr 17, 2020, 2:46:48 PM"
45293491,Accepted,"Apr 28, 2020, 9:23:24 PM"
49818078,Accepted,"Apr 29, 2020, 6:23:50 PM"
55664265,Accepted,"Apr 30, 2020, 12:06:06 AM"
51422402,Accepted,"May 12, 2020, 5:43:18 PM"
36262735,Accepted,"May 21, 2020, 8:39:34 PM"
49370469,Accepted,"Jun 12, 2020, 3:23:28 AM"
54535766,Accepted,"Jun 19, 2020, 4:08:29 PM"
59473681,Accepted,"Oct 6, 2020, 1:21:31 PM"
64066887,Accepted,"Oct 28, 2020, 9:03:04 PM"
58607717,Accepted,"Nov 4, 2020, 10:00:02 PM"
72707076,Accepted,"Nov 25, 2020, 4:21:44 AM"
54985510,Accepted,"Dec 13, 2020, 1:10:01 AM"
6627664,Accepted,"Dec 15, 2020, 9:33:50 PM"
44691465,Accepted,"May 11, 2021, 8:26:24 PM"
52188579,Accepted,"Jul 16, 2021, 2:07:55 AM"
426062,Accepted,"Aug 31, 2021, 12:40:17 PM"
33262040,Accepted,"Sep 8, 2021, 11:49:47 PM"
25838529,Accepted,"Sep 12, 2021, 9:00:34 PM"
92702847,Accepted,"Sep 19, 2021, 5:22:41 PM"
92467187,Accepted,"Sep 29, 2021, 9:43:24 PM"
92255189,Accepted,"Oct 2, 2021, 4:07:47 PM"
67279237,Accepted,"Oct 6, 2021, 12:04:12 AM"
28676805,Accepted,"Oct 14, 2021, 5:00:56 PM"
93929228,Accepted,"Oct 24, 2021, 1:57:27 PM"
94726530,Accepted,"Nov 1, 2021, 1:43:08 AM"
16097447,Accepted,"Nov 9, 2021, 1:18:04 AM"
55669232,Accepted,"Nov 24, 2021, 7:24:40 PM"
26175682,Accepted,"Nov 28, 2021, 12:11:28 AM"
33073387,Accepted,"Dec 6, 2021, 1:19:09 AM"
74316803,Accepted,"Dec 16, 2021, 11:47:29 PM"
97781152,Accepted,"Jan 18, 2022, 1:17:05 AM"
4995,Accepted,"Jan 23, 2022, 11:52:08 PM"
10200292,Accepted,"Feb 7, 2022, 3:30:25 AM"
52128387,Accepted,"Feb 19, 2022, 3:46:07 AM"
62648117,Accepted,"Feb 27, 2022, 10:33:49 PM"
98891106,Accepted,"Feb 28, 2022, 1:04:36 AM"
98456288,Accepted,"Mar 2, 2022, 10:46:38 PM"
65874309,Accepted,"Mar 25, 2022, 9:23:14 PM"
101999684,Accepted,"Apr 25, 2022, 7:45:16 PM"
102964075,Accepted,"May 13, 2022, 11:36:12 PM"
68296859,Accepted,"May 30, 2022, 3:03:44 PM"
56497807,Accepted,"Jun 3, 2022, 8:30:23 PM"
29244253,Accepted,"Jun 4, 2022, 7:19:56 PM"
35084941,Accepted,"Jul 11, 2022, 12:04:47 AM"
62732080,Accepted,"Aug 22, 2022, 7:08:26 PM"
24038029,Accepted,"Aug 24, 2022, 10:37:49 PM"
44427568,Accepted,"Sep 2, 2022, 9:58:50 PM"
47645494,Accepted,"Sep 5, 2022, 5:50:08 AM"
34478295,Accepted,"Sep 5, 2022, 5:50:09 AM"
32522578,Accepted,"Sep 11, 2022, 3:23:47 AM"
22252026,Accepted,"Sep 14, 2022, 2:38:32 AM"
41392541,Accepted,"Sep 30, 2022, 4:33:38 AM"
87989093,Accepted,"Oct 4, 2022, 12:25:01 AM"
53557515,Accepted,"Oct 18, 2022, 1:17:49 AM"
56648151,Accepted,"Oct 20, 2022, 7:49:26 PM"
107798306,Accepted,"Nov 5, 2022, 1:01:01 AM"
59164011,Accepted,"Nov 29, 2022, 11:26:02 PM"
90313090,Accepted,"Dec 3, 2022, 2:31:44 PM"
25455193,Accepted,"Jan 6, 2023, 5:05:33 AM"
87740052,Accepted,"Mar 15, 2023, 1:54:46 AM"
113110562,Accepted,"Mar 18, 2023, 2:34:45 AM"
46469274,Accepted,"Apr 19, 2023, 3:51:40 PM"
118065065,Accepted,"May 17, 2023, 2:09:46 AM"
118056905,Accepted,"May 17, 2023, 2:10:38 AM"
118055773,Accepted,"May 18, 2023, 12:33:17 AM"
118065078,Accepted,"May 18, 2023, 12:33:22 AM"
92528184,Accepted,"Aug 9, 2023, 4:56:55 PM"
104541222,Accepted,"Aug 10, 2023, 2:02:33 PM"
115647788,Pending,"Aug 31, 2023, 1:40:38 AM"
86231397,Accepted,"Sep 10, 2023, 10:29:50 PM"
29378417,Accepted,"Sep 24, 2023, 4:57:34 PM"
88662534,Accepted,"Oct 1, 2023, 4:34:47 PM"
52230616,Accepted,"Oct 1, 2023, 4:35:08 PM"
32753802,Accepted,"Nov 12, 2023, 3:35:57 PM"
60926461,Accepted,"Dec 20, 2023, 9:53:15 PM"
23564413,Accepted,"Dec 25, 2023, 3:55:37 AM"
55917850,Accepted,"Jan 5, 2024, 5:37:27 PM"
110927881,Accepted,"Jan 6, 2024, 4:46:30 PM"
