Join Date,Club Name
"Apr 15, 2020, 7:57:04 PM",Fox Chapel Running Club
"May 26, 2020, 5:14:45 PM",WPIAL Alumni
"Jun 5, 2020, 10:39:34 PM",Move4TheMovement
"Aug 18, 2020, 4:22:22 PM",Run Lehigh Valley
"Sep 7, 2020, 3:56:03 PM",Run 100km in September
"Oct 22, 2020, 12:41:41 PM",30 Day 100 Mile Challenge - starts Jan 28th
"Jan 3, 2021, 6:21:42 PM",Consistently Good Run Club
"Jun 20, 2021, 3:49:27 PM",The Strava Club
"Jul 25, 2022, 2:35:04 PM",CMU SCS Runners
"Sep 10, 2022, 2:27:36 AM",CMU Running Club
"Sep 11, 2022, 3:27:24 AM",CMU Club XC
"Sep 16, 2022, 2:43:17 AM",PIAA District 11
"Aug 3, 2023, 9:36:08 PM",Moravian Academy Running
"Oct 8, 2023, 1:10:54 AM",Water
"Jan 8, 2024, 5:58:54 PM",3 Rivers Outdoor Company
