Route Name,Route Filename
Natrona heights 2,routes/1.gpx
7 down mile lock,routes/2.gpx
Roads I never remember ,routes/3.gpx
10 frick,routes/4.gpx
pgh loop w/ NS trail,routes/5.gpx
11 by the point,routes/6.gpx
Half via wfront+frick,routes/7.gpx
Spooky season,routes/8.gpx
Spooky 7,routes/9.gpx
Graveyard 6,routes/10.gpx
Elephant vibes,routes/11.gpx
7.6,routes/12.gpx
8.4,routes/13.gpx
Hilly but boring,routes/14.gpx
'voir 9,routes/15.gpx
Hill,routes/16.gpx
Five,routes/17.gpx
Flat four with campus,routes/18.gpx
Flat 4,routes/19.gpx
12 past sandcastle ,routes/20.gpx
"6mi,600ft",routes/21.gpx
Big frick loop+Southside ,routes/22.gpx
To the 'yard,routes/23.gpx
Flat 6,routes/24.gpx
Itsaroutea!,routes/25.gpx
10.5 point loop,routes/26.gpx
Gold way,routes/27.gpx
Southside,routes/28.gpx
7.5 highland loop,routes/29.gpx
Eight hope,routes/30.gpx
10.55555,routes/31.gpx
Carlisloop,routes/32.gpx
Fpt4,routes/33.gpx
534,routes/34.gpx
Ten point nine ,routes/35.gpx
Big 10 loop,routes/36.gpx
Gordon's pond,routes/37.gpx
4.7,routes/38.gpx
0.0 mi Ride Route,routes/39.gpx
13,routes/40.gpx
10er,routes/41.gpx
Big loop,routes/42.gpx
Schenzigzag,routes/43.gpx
Short greenfield ,routes/44.gpx
Frick via Greenfield loop,routes/45.gpx
AI stealing my job,routes/46.gpx
Figgy eighty ,routes/47.gpx
2seg,routes/48.gpx
North cemetery ,routes/49.gpx
Backwards frickkk,routes/50.gpx
Carnival 5K,routes/51.gpx
12.5,routes/52.gpx
12.5,routes/53.gpx
11loop,routes/54.gpx
11 with hillz,routes/55.gpx
>100ft/mile,routes/56.gpx
ELEVEN😈,routes/57.gpx
EMORY 3.5,routes/58.gpx
ATL 6,routes/59.gpx
To the point in time for lunch,routes/60.gpx
Straight and to the point in time.for dinner,routes/61.gpx
8.5,routes/62.gpx
Bikeee,routes/63.gpx
14ish,routes/64.gpx
Half,routes/65.gpx
Shopping,routes/66.gpx
2.5 quick,routes/67.gpx
hilll,routes/68.gpx
Exploring neighborhoods ,routes/69.gpx
0 mi Run Route,routes/70.gpx
3 parks half,routes/71.gpx
Highland,routes/72.gpx
10 thru frick ,routes/73.gpx
10 thru frick ,routes/74.gpx
Bigun,routes/75.gpx
Lull trails,routes/76.gpx
Ez,routes/77.gpx
Fun!,routes/78.gpx
Straight and to the point,routes/79.gpx
2.5 out and back ,routes/80.gpx
First cmu run,routes/81.gpx
10(ish),routes/82.gpx
7.2 ride,routes/83.gpx
Carlisle loop,routes/84.gpx
Testing bike and computer,routes/85.gpx
Testing bike and computer,routes/86.gpx
First 7 Back,routes/87.gpx
Down to Emerick,routes/88.gpx
4 mile to test watch ,routes/89.gpx
Two tracks,routes/90.gpx
Trexler hills,routes/91.gpx
Fun route and testing hill,routes/92.gpx
Lotta loops,routes/93.gpx
1 mile@MA,routes/94.gpx
12.  Looks awful,routes/95.gpx
Half wDLD segment,routes/96.gpx
Expanding northeast 👍,routes/97.gpx
Exploring northeast,routes/98.gpx
Line,routes/99.gpx
Leg,routes/100.gpx
Line,routes/101.gpx
0 mi Run Route,routes/102.gpx
Awful 14,routes/103.gpx
Funnnnnnnn,routes/104.gpx
Better,routes/105.gpx
0 mi Run Route,routes/106.gpx
Cool route,routes/107.gpx
Southwest(not tryna get segs),routes/108.gpx
Lol,routes/109.gpx
eight,routes/110.gpx
Actually fun(easiest 6),routes/111.gpx
0 mi Run Route,routes/112.gpx
Ten of trails,routes/113.gpx
Eleven . Five,routes/114.gpx
Freedom segments ish,routes/115.gpx
Eight,routes/116.gpx
Seven,routes/117.gpx
0.0 mi Run Route,routes/118.gpx
4 segs(SW I),routes/119.gpx
0.0 mi Run Route,routes/120.gpx
Half to da river,routes/121.gpx
5/13 run,routes/122.gpx
Run 4 tmrw,routes/123.gpx
10 miler,routes/124.gpx
12 in case I ever need it😉,routes/125.gpx
Half marathon in case I ever need it 😉😉,routes/126.gpx
Left loop(long),routes/127.gpx
0.0 mi Run Route,routes/128.gpx
Fun,routes/129.gpx
Anthony Drive West-Crystal Drive-Campbell Drive,routes/130.gpx
7 with both south small loops and down farmersville up washington,routes/131.gpx
Behind freedom then up to hecktown and loop back down,routes/132.gpx
5.5 with emrick,routes/133.gpx
5 miler / extended on easton,routes/134.gpx
